City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.7435,-97.8558,-20.91,77,100,2.57,CA,1704605028
1,simian,44.6142,22.7072,6.62,58,99,2.66,RO,1704605028
2,talnakh,69.4865,88.3972,-21.0,97,100,4.48,RU,1704605029
3,puerto ayora,-0.7393,-90.3518,25.31,94,83,0.89,EC,1704605029
4,dabakala,8.3667,-4.4333,25.55,68,57,2.17,CI,1704605030
5,margaret river,-33.95,115.0667,25.66,54,57,6.06,AU,1704604791
6,hamilton,39.1834,-84.5333,2.47,93,100,2.06,US,1704605030
7,ilulissat,69.2167,-51.1,-8.99,73,100,3.09,GL,1704605031
8,whitehorse,60.7161,-135.0538,-19.55,83,40,6.17,CA,1704605022
9,albany,42.6001,-73.9662,-1.54,89,100,2.99,US,1704604570
10,masuguru,-11.3667,38.4167,24.26,95,100,0.19,TZ,1704605032
11,tura,25.5198,90.2201,23.29,34,0,1.25,IN,1704605032
12,st. john's,47.5649,-52.7093,-10.47,81,75,13.38,CA,1704605033
13,hawaiian paradise park,19.5933,-154.9731,22.24,95,40,2.06,US,1704605034
14,adamstown,-25.066,-130.1015,22.63,73,100,6.76,PN,1704605034
15,kavieng,-2.5744,150.7967,29.03,75,67,4.05,PG,1704605034
16,blackmans bay,-43.0167,147.3167,24.07,80,100,0.46,AU,1704605034
17,souk ahras,36.2864,7.9511,4.58,88,85,6.61,DZ,1704605035
18,quincy,42.2529,-71.0023,2.75,88,100,3.13,US,1704605036
19,gadzhiyevo,69.2551,33.3362,-6.39,83,98,6.59,RU,1704605036
20,buta,2.7858,24.73,18.14,55,11,0.46,CD,1704605037
21,puerto natales,-51.7236,-72.4875,8.08,83,97,1.95,CL,1704604944
22,yuzhno-kurilsk,44.0306,145.8556,-1.46,79,68,2.62,RU,1704605037
23,grytviken,-54.2811,-36.5092,3.73,91,28,6.21,GS,1704605038
24,afaahiti,-17.75,-149.2833,26.93,78,100,3.83,PF,1704605038
25,camaqua,-30.8511,-51.8122,20.28,98,11,1.16,BR,1704605039
26,fale old settlement,-9.3852,-171.2468,29.3,68,93,3.26,TK,1704605039
